equipment_id,hospital_id,equipment_name,manufacturer,purchase_date,maintenance_due,status,cost,source_file
136,2,Infusion Pump,Siemens,2015-10-20,2016-08-02,Under Maintenance,10708856.39,equipment.csv
137,2,Oxygen Concentrator,GE Healthcare,2026-01-13,2027-04-14,Under Maintenance,19113537.34,equipment.csv
138,2,Ventilator,Siemens,2017-01-23,2017-09-28,Under Maintenance,7497839.06,equipment.csv
139,2,CT Scanner,Baxter,2023-10-05,2025-04-22,Under Maintenance,10156895.31,equipment.csv
140,2,Incubator,Dräger,2012-03-27,2013-12-22,Operational,15315490.54,equipment.csv
141,2,Incubator,Mindray,2023-04-20,2024-03-26,Under Maintenance,21643172.02,equipment.csv
142,2,Ventilator,Philips,2013-08-30,2014-07-27,Out of Service,19911385.16,equipment.csv
143,2,Dialysis Machine,Philips,2017-06-22,2018-01-25,Under Maintenance,6188444.27,equipment.csv
144,2,Ventilator,Mindray,2023-12-14,2024-11-09,Out of Service,7144279.91,equipment.csv
145,2,MRI Scanner,Baxter,2021-10-10,2023-01-09,Under Maintenance,3159093.78,equipment.csv
146,2,Infusion Pump,Dräger,2013-12-28,2015-01-24,Operational,15526037.74,equipment.csv
147,2,Oxygen Concentrator,Philips,2022-06-11,2023-09-30,Out of Service,13747601.16,equipment.csv
148,2,Infusion Pump,Baxter,2015-06-02,2016-09-11,Under Maintenance,24136202.83,equipment.csv
149,2,Dialysis Machine,Siemens,2020-06-26,2021-12-13,Out of Service,5640857.2,equipment.csv
150,2,X-Ray Machine,Medtronic,2016-12-28,2017-09-23,Operational,22108613.86,equipment.csv
151,2,CT Scanner,Siemens,2011-08-31,2012-08-12,Out of Service,18412912.37,equipment.csv
152,2,Operating Table,Philips,2022-03-29,2024-01-12,Out of Service,1664629.08,equipment.csv
153,2,ECG Machine,Fresenius,2012-08-15,2014-03-11,Under Maintenance,5478799.41,equipment.csv
154,2,Hospital Bed,Siemens,2019-11-14,2021-07-09,Operational,18942233.62,equipment.csv
155,2,Anesthesia Machine,Siemens,2015-01-24,2016-01-07,Operational,2743077.98,equipment.csv
156,2,Hospital Bed,Dräger,2014-06-07,2016-03-25,Operational,1610328.71,equipment.csv
157,2,MRI Scanner,Medtronic,2020-07-26,2021-10-03,Under Maintenance,18193114.38,equipment.csv
158,2,Patient Monitor,Mindray,2015-11-23,2017-11-19,Out of Service,11692489.4,equipment.csv
159,2,ECG Machine,Medtronic,2018-03-11,2019-07-17,Out of Service,12258381.3,equipment.csv
160,2,Incubator,Philips,2014-02-17,2014-12-28,Under Maintenance,6424881.01,equipment.csv
161,2,Ventilator,Mindray,2014-11-05,2016-09-24,Under Maintenance,18483508.4,equipment.csv
162,2,Oxygen Concentrator,Dräger,2019-02-05,2020-04-05,Operational,2467071.39,equipment.csv
163,2,CT Scanner,Medtronic,2016-05-07,2018-02-21,Out of Service,24874891.03,equipment.csv
164,2,Ultrasound Machine,Siemens,2018-01-19,2019-02-13,Under Maintenance,2456768.81,equipment.csv
165,2,Anesthesia Machine,Baxter,2023-05-25,2025-01-18,Under Maintenance,3692370.92,equipment.csv
166,2,Hospital Bed,Fresenius,2021-09-16,2023-03-24,Under Maintenance,11591699.56,equipment.csv
167,2,Incubator,Siemens,2022-06-12,2023-04-15,Operational,23543282.46,equipment.csv
168,2,X-Ray Machine,Fresenius,2024-09-27,2026-07-15,Out of Service,7790478.22,equipment.csv
169,2,Infusion Pump,Mindray,2018-11-23,2020-04-22,Out of Service,23718812.59,equipment.csv
170,2,Oxygen Concentrator,Medtronic,2021-11-15,2023-05-08,Operational,2915789.04,equipment.csv
171,2,Defibrillator,Fresenius,2021-08-25,2022-10-06,Out of Service,12389462.5,equipment.csv
172,2,Infusion Pump,Philips,2021-05-09,2022-08-27,Under Maintenance,14285306.97,equipment.csv
173,2,Operating Table,Fresenius,2022-03-29,2023-10-15,Under Maintenance,12670728.9,equipment.csv
174,2,Operating Table,Medtronic,2015-06-24,2016-08-17,Out of Service,22008141.11,equipment.csv
175,2,MRI Scanner,GE Healthcare,2014-02-20,2015-08-19,Under Maintenance,2231289.04,equipment.csv
176,2,X-Ray Machine,Medtronic,2019-10-28,2020-08-10,Out of Service,7511889.48,equipment.csv
177,2,Incubator,Fresenius,2013-12-09,2015-03-07,Operational,20198463.54,equipment.csv
178,2,MRI Scanner,Fresenius,2015-05-28,2016-03-13,Out of Service,22749542.53,equipment.csv
179,2,Operating Table,Philips,2014-04-16,2016-01-14,Under Maintenance,20315019.0,equipment.csv
180,2,Incubator,Fresenius,2012-02-20,2013-06-01,Out of Service,8613114.5,equipment.csv
181,3,ECG Machine,GE Healthcare,2011-07-12,2013-05-24,Operational,16132066.57,equipment.csv
182,3,Hospital Bed,Mindray,2022-09-27,2024-07-13,Under Maintenance,1584192.15,equipment.csv
183,3,Patient Monitor,GE Healthcare,2018-02-24,2019-06-10,Operational,15405296.78,equipment.csv
184,3,Hospital Bed,Fresenius,2015-02-06,2016-12-04,Under Maintenance,17264651.44,equipment.csv
185,3,X-Ray Machine,Siemens,2012-12-29,2014-04-14,Under Maintenance,11205278.87,equipment.csv
186,3,Ventilator,Philips,2024-03-24,2025-09-07,Operational,20082113.37,equipment.csv
187,3,Infusion Pump,Fresenius,2022-03-04,2023-01-05,Operational,4701572.93,equipment.csv
188,3,Ultrasound Machine,Fresenius,2022-12-07,2024-10-03,Out of Service,4195630.99,equipment.csv
189,3,Hospital Bed,GE Healthcare,2015-06-06,2017-04-26,Operational,12589051.11,equipment.csv
190,3,Patient Monitor,Mindray,2023-08-29,2024-12-15,Under Maintenance,16111560.84,equipment.csv
191,3,Oxygen Concentrator,GE Healthcare,2016-05-28,2017-06-30,Under Maintenance,9228657.35,equipment.csv
192,3,Oxygen Concentrator,Medtronic,2025-10-21,2027-08-17,Under Maintenance,7864677.43,equipment.csv
193,3,Defibrillator,Mindray,2013-11-07,2015-10-19,Operational,2809013.23,equipment.csv
194,3,Patient Monitor,Siemens,2016-05-08,2016-11-10,Under Maintenance,732462.63,equipment.csv
195,3,CT Scanner,Siemens,2025-12-21,2026-10-19,Operational,24743596.08,equipment.csv
196,3,Defibrillator,Dräger,2017-12-22,2019-12-19,Under Maintenance,23296869.64,equipment.csv
197,3,Ventilator,Baxter,2020-11-12,2022-10-21,Out of Service,8018122.04,equipment.csv
198,3,Incubator,Medtronic,2014-10-01,2016-05-07,Out of Service,2702629.02,equipment.csv
199,3,Patient Monitor,Medtronic,2017-04-09,2018-12-14,Operational,2268140.38,equipment.csv
200,3,X-Ray Machine,Baxter,2025-08-08,2026-12-16,Under Maintenance,7609131.54,equipment.csv
201,3,MRI Scanner,GE Healthcare,2011-10-08,2013-01-02,Under Maintenance,11997930.95,equipment.csv
202,3,Infusion Pump,GE Healthcare,2012-08-30,2013-07-03,Operational,2059904.24,equipment.csv
203,3,Ventilator,GE Healthcare,2023-09-25,2024-06-24,Under Maintenance,6568429.21,equipment.csv
204,3,Anesthesia Machine,Medtronic,2019-02-05,2020-08-17,Out of Service,4226142.34,equipment.csv
205,3,Dialysis Machine,Fresenius,2019-07-19,2020-01-28,Under Maintenance,17095496.73,equipment.csv
206,3,Defibrillator,Medtronic,2012-05-17,2013-02-13,Under Maintenance,1317819.03,equipment.csv
207,3,Anesthesia Machine,Dräger,2013-06-03,2014-05-17,Out of Service,1911446.46,equipment.csv
208,3,CT Scanner,Siemens,2024-01-05,2025-02-03,Under Maintenance,17639204.24,equipment.csv
209,3,Oxygen Concentrator,Medtronic,2025-08-27,2026-06-30,Operational,21058890.1,equipment.csv
210,3,Defibrillator,Fresenius,2020-05-14,2021-09-26,Operational,20222695.87,equipment.csv
211,3,Ultrasound Machine,Baxter,2017-07-19,2018-12-14,Under Maintenance,5689232.89,equipment.csv
212,3,MRI Scanner,Dräger,2018-03-30,2019-01-18,Out of Service,23297946.93,equipment.csv
213,3,X-Ray Machine,Siemens,2015-05-06,2017-04-09,Operational,2834323.33,equipment.csv
214,3,CT Scanner,Fresenius,2020-02-05,2020-08-31,Under Maintenance,9543100.8,equipment.csv
215,3,Patient Monitor,Dräger,2019-12-17,2020-07-10,Under Maintenance,2570969.15,equipment.csv
216,3,Ventilator,Mindray,2022-11-05,2023-08-13,Operational,12949945.77,equipment.csv
217,3,Ultrasound Machine,Medtronic,2026-04-23,2026-11-02,Under Maintenance,4561574.08,equipment.csv
218,3,X-Ray Machine,Baxter,2026-01-10,2026-07-11,Out of Service,6419067.46,equipment.csv
219,3,Oxygen Concentrator,Medtronic,2019-12-11,2021-09-01,Out of Service,15428069.9,equipment.csv
220,3,MRI Scanner,Baxter,2016-02-21,2017-10-26,Operational,2590762.73,equipment.csv
221,3,Operating Table,Fresenius,2014-07-17,2015-02-19,Operational,22995671.89,equipment.csv
222,3,Oxygen Concentrator,Baxter,2015-11-18,2017-06-19,Operational,3579639.79,equipment.csv
223,3,CT Scanner,Medtronic,2019-10-01,2020-05-01,Out of Service,10537362.78,equipment.csv
224,3,Hospital Bed,Medtronic,2023-12-14,2024-11-26,Out of Service,24333567.89,equipment.csv
225,3,Operating Table,Mindray,2024-09-09,2026-07-03,Operational,9977311.17,equipment.csv
226,3,Ultrasound Machine,GE Healthcare,2022-04-16,2023-02-13,Operational,15141267.71,equipment.csv
227,3,Ultrasound Machine,Philips,2018-06-25,2018-12-25,Out of Service,10624185.07,equipment.csv
228,3,Oxygen Concentrator,GE Healthcare,2024-01-30,2026-01-27,Under Maintenance,10149009.34,equipment.csv
229,3,Oxygen Concentrator,Mindray,2021-07-15,2022-08-02,Out of Service,8052122.23,equipment.csv
230,3,Incubator,Dräger,2016-05-03,2017-11-26,Out of Service,2351510.67,equipment.csv
231,3,ECG Machine,Siemens,2022-10-31,2023-11-11,Out of Service,7684287.25,equipment.csv
232,3,MRI Scanner,GE Healthcare,2016-12-14,2017-12-14,Under Maintenance,8996722.92,equipment.csv
233,3,Patient Monitor,Fresenius,2022-01-12,2022-09-27,Under Maintenance,18773522.56,equipment.csv
234,3,Ventilator,Medtronic,2022-11-09,2024-04-02,Out of Service,19579144.11,equipment.csv
235,3,Infusion Pump,Baxter,2018-01-20,2018-09-22,Operational,15957801.59,equipment.csv
236,3,Patient Monitor,Baxter,2020-12-15,2021-11-28,Out of Service,8398495.21,equipment.csv
237,3,Patient Monitor,Philips,2016-08-20,2017-02-28,Out of Service,21921912.41,equipment.csv
238,3,Incubator,Mindray,2014-11-23,2015-12-13,Out of Service,5706206.93,equipment.csv
239,3,Ultrasound Machine,Baxter,2015-01-24,2015-10-31,Out of Service,12289213.18,equipment.csv
240,3,Ventilator,GE Healthcare,2013-06-05,2015-06-03,Out of Service,11854756.04,equipment.csv
241,3,Hospital Bed,Philips,2017-09-14,2018-12-10,Out of Service,14717259.2,equipment.csv
242,3,Hospital Bed,Baxter,2017-02-23,2017-08-26,Under Maintenance,20347127.93,equipment.csv
243,3,ECG Machine,Mindray,2013-01-28,2014-12-01,Out of Service,9778589.42,equipment.csv
244,3,Ultrasound Machine,Mindray,2019-05-28,2020-12-17,Operational,21078901.33,equipment.csv
245,3,Dialysis Machine,Siemens,2022-09-20,2024-01-01,Operational,15052162.42,equipment.csv
246,3,X-Ray Machine,Philips,2021-01-10,2022-10-20,Operational,10970955.15,equipment.csv
247,3,ECG Machine,Philips,2020-05-12,2021-02-07,Operational,4414517.33,equipment.csv
248,3,X-Ray Machine,Baxter,2015-10-04,2016-08-09,Under Maintenance,10157433.05,equipment.csv
249,3,Ultrasound Machine,Philips,2024-10-28,2025-06-19,Operational,13946844.6,equipment.csv
250,3,Ventilator,Baxter,2023-04-01,2024-10-03,Under Maintenance,23099582.46,equipment.csv
251,3,CT Scanner,Dräger,2014-11-22,2016-10-03,Out of Service,23666628.12,equipment.csv
252,3,Dialysis Machine,Mindray,2013-10-05,2015-03-22,Out of Service,683314.04,equipment.csv
253,3,Infusion Pump,Mindray,2013-02-06,2014-08-23,Operational,18565152.45,equipment.csv
254,3,Ultrasound Machine,GE Healthcare,2014-09-01,2015-04-20,Out of Service,20153092.29,equipment.csv
255,3,Patient Monitor,Philips,2022-07-17,2024-03-21,Under Maintenance,7027788.52,equipment.csv
256,3,MRI Scanner,Mindray,2013-04-08,2014-01-05,Under Maintenance,23052567.82,equipment.csv
257,3,Infusion Pump,Philips,2013-06-06,2014-07-24,Operational,22381127.95,equipment.csv
258,3,Ventilator,Fresenius,2023-11-20,2024-11-07,Operational,20459053.01,equipment.csv
259,3,Anesthesia Machine,Dräger,2022-07-21,2023-09-18,Operational,15200576.71,equipment.csv
260,3,Anesthesia Machine,Baxter,2022-06-10,2024-01-02,Operational,11386181.18,equipment.csv
261,3,CT Scanner,GE Healthcare,2025-10-13,2026-06-20,Out of Service,17496129.63,equipment.csv
262,3,Oxygen Concentrator,Baxter,2023-11-09,2025-10-07,Operational,22258757.08,equipment.csv
263,3,Patient Monitor,Siemens,2019-05-13,2020-11-23,Under Maintenance,23637080.29,equipment.csv
264,3,Oxygen Concentrator,Mindray,2025-08-05,2026-07-31,Out of Service,20260222.15,equipment.csv
265,3,ECG Machine,Philips,2026-02-05,2026-09-30,Under Maintenance,22372735.73,equipment.csv
266,3,Operating Table,Dräger,2015-04-13,2016-03-31,Operational,1210565.34,equipment.csv
267,4,Hospital Bed,Dräger,2012-09-22,2014-04-12,Operational,11278680.89,equipment.csv
268,4,Infusion Pump,Philips,2016-11-20,2017-11-27,Operational,1215945.28,equipment.csv
269,4,MRI Scanner,Philips,2013-02-24,2013-11-01,Under Maintenance,21799312.48,equipment.csv
270,4,Defibrillator,Philips,2025-10-19,2027-08-13,Operational,3328764.42,equipment.csv
271,4,Defibrillator,Medtronic,2016-11-02,2018-08-10,Out of Service,4532070.1,equipment.csv
272,4,Ultrasound Machine,Medtronic,2016-05-28,2018-03-30,Out of Service,11454405.1,equipment.csv
273,4,Infusion Pump,Medtronic,2011-08-29,2012-03-29,Out of Service,22549407.98,equipment.csv
274,4,Ventilator,Philips,2025-04-10,2026-10-08,Out of Service,8424569.45,equipment.csv
275,4,CT Scanner,Siemens,2011-08-04,2012-02-09,Under Maintenance,29896.69,equipment.csv
276,4,Oxygen Concentrator,Fresenius,2017-03-10,2018-02-23,Operational,11814652.91,equipment.csv
