inventory_id,hospital_id,medication_id,quantity_available,reorder_level,supplier,last_stock_update,source_file
38,1,29,198,296,Medisel Kenya,2026-04-20,pharmacy_inventory.csv
39,1,33,1441,172,KEMSA,2026-04-06,pharmacy_inventory.csv
40,1,120,4943,226,Medisel Kenya,2026-04-28,pharmacy_inventory.csv
41,1,5,4754,413,Phillips Healthcare,2026-06-06,pharmacy_inventory.csv
42,1,216,4512,435,Surgipharm,2026-04-27,pharmacy_inventory.csv
43,1,132,4331,123,Lab & Allied,2026-06-14,pharmacy_inventory.csv
44,1,70,4545,367,Lab & Allied,2026-05-31,pharmacy_inventory.csv
45,1,178,2868,441,Mission for Essential Drugs,2026-06-12,pharmacy_inventory.csv
46,1,122,1451,174,Mission for Essential Drugs,2026-05-22,pharmacy_inventory.csv
47,1,224,3044,333,Mission for Essential Drugs,2026-04-02,pharmacy_inventory.csv
48,1,191,230,132,Revital Healthcare,2026-04-03,pharmacy_inventory.csv
49,1,275,430,495,Medisel Kenya,2026-05-09,pharmacy_inventory.csv
50,1,285,2119,265,KEMSA,2026-04-12,pharmacy_inventory.csv
51,1,149,4079,491,Phillips Healthcare,2026-04-08,pharmacy_inventory.csv
52,1,167,1425,318,Revital Healthcare,2026-04-05,pharmacy_inventory.csv
53,1,296,116,186,Phillips Healthcare,2026-06-21,pharmacy_inventory.csv
54,1,104,1182,347,Revital Healthcare,2026-06-12,pharmacy_inventory.csv
55,1,47,4891,268,Medisel Kenya,2026-03-30,pharmacy_inventory.csv
56,1,266,3054,104,Mission for Essential Drugs,2026-05-02,pharmacy_inventory.csv
57,1,199,2797,275,Revital Healthcare,2026-05-22,pharmacy_inventory.csv
58,1,187,797,304,KEMSA,2026-06-07,pharmacy_inventory.csv
59,1,299,2243,463,Medisel Kenya,2026-04-28,pharmacy_inventory.csv
60,1,237,3575,169,KEMSA,2026-05-19,pharmacy_inventory.csv
61,1,61,1168,454,Medisel Kenya,2026-05-26,pharmacy_inventory.csv
62,1,76,2929,118,Phillips Healthcare,2026-05-24,pharmacy_inventory.csv
63,1,136,2560,186,Revital Healthcare,2026-04-23,pharmacy_inventory.csv
64,1,10,37,150,KEMSA,2026-04-11,pharmacy_inventory.csv
65,1,231,365,228,Lab & Allied,2026-06-23,pharmacy_inventory.csv
66,1,99,1400,222,KEMSA,2026-06-06,pharmacy_inventory.csv
67,1,192,4414,205,Lab & Allied,2026-04-12,pharmacy_inventory.csv
68,1,202,1558,316,Lab & Allied,2026-05-29,pharmacy_inventory.csv
69,1,194,2403,249,Mission for Essential Drugs,2026-04-11,pharmacy_inventory.csv
70,1,217,2829,334,KEMSA,2026-04-04,pharmacy_inventory.csv
71,1,89,2915,247,Mission for Essential Drugs,2026-05-07,pharmacy_inventory.csv
72,1,280,939,148,Lab & Allied,2026-06-01,pharmacy_inventory.csv
73,1,17,3011,326,Harleys Limited,2026-06-27,pharmacy_inventory.csv
74,1,158,136,266,Revital Healthcare,2026-06-11,pharmacy_inventory.csv
75,1,21,4521,154,KEMSA,2026-06-07,pharmacy_inventory.csv
76,1,288,70,447,KEMSA,2026-06-20,pharmacy_inventory.csv
77,1,175,3507,372,Phillips Healthcare,2026-04-09,pharmacy_inventory.csv
78,1,116,3901,372,Harleys Limited,2026-04-10,pharmacy_inventory.csv
79,1,160,780,306,Surgipharm,2026-04-08,pharmacy_inventory.csv
80,1,277,41,171,Mission for Essential Drugs,2026-05-03,pharmacy_inventory.csv
81,1,77,4366,488,Mission for Essential Drugs,2026-04-17,pharmacy_inventory.csv
82,1,185,2254,275,Phillips Healthcare,2026-04-06,pharmacy_inventory.csv
83,1,189,3874,318,Phillips Healthcare,2026-05-20,pharmacy_inventory.csv
84,1,233,2960,457,Mission for Essential Drugs,2026-04-12,pharmacy_inventory.csv
85,1,110,4960,340,Phillips Healthcare,2026-06-16,pharmacy_inventory.csv
86,1,96,2715,232,Revital Healthcare,2026-04-21,pharmacy_inventory.csv
87,1,59,2903,248,Phillips Healthcare,2026-06-27,pharmacy_inventory.csv
88,1,186,2946,340,Harleys Limited,2026-04-14,pharmacy_inventory.csv
89,1,127,3737,395,Surgipharm,2026-05-22,pharmacy_inventory.csv
90,1,218,3485,379,KEMSA,2026-06-12,pharmacy_inventory.csv
91,1,119,1240,495,Mission for Essential Drugs,2026-05-08,pharmacy_inventory.csv
92,1,227,4162,203,Mission for Essential Drugs,2026-05-02,pharmacy_inventory.csv
93,1,32,2586,108,Lab & Allied,2026-03-31,pharmacy_inventory.csv
94,1,235,833,311,Phillips Healthcare,2026-04-25,pharmacy_inventory.csv
95,1,284,2005,366,KEMSA,2026-06-14,pharmacy_inventory.csv
96,1,276,2036,260,Revital Healthcare,2026-05-04,pharmacy_inventory.csv
97,1,134,4543,285,Surgipharm,2026-04-13,pharmacy_inventory.csv
98,1,174,2175,182,KEMSA,2026-04-17,pharmacy_inventory.csv
99,1,30,4561,259,Harleys Limited,2026-06-04,pharmacy_inventory.csv
100,1,72,338,413,Surgipharm,2026-06-18,pharmacy_inventory.csv
101,1,177,4746,450,Mission for Essential Drugs,2026-06-07,pharmacy_inventory.csv
102,1,8,3866,256,Revital Healthcare,2026-05-21,pharmacy_inventory.csv
103,1,165,2494,344,Harleys Limited,2026-05-18,pharmacy_inventory.csv
104,1,272,4620,191,Mission for Essential Drugs,2026-05-15,pharmacy_inventory.csv
105,1,7,3666,100,Phillips Healthcare,2026-05-30,pharmacy_inventory.csv
106,1,290,1366,317,Medisel Kenya,2026-05-23,pharmacy_inventory.csv
107,1,156,3273,419,Harleys Limited,2026-05-10,pharmacy_inventory.csv
108,1,249,3021,435,Surgipharm,2026-04-26,pharmacy_inventory.csv
109,1,51,4787,205,KEMSA,2026-05-31,pharmacy_inventory.csv
110,1,163,2848,323,KEMSA,2026-04-16,pharmacy_inventory.csv
111,1,200,1801,116,Lab & Allied,2026-03-30,pharmacy_inventory.csv
112,1,111,3686,320,Revital Healthcare,2026-04-09,pharmacy_inventory.csv
113,1,155,973,215,Lab & Allied,2026-04-19,pharmacy_inventory.csv
114,1,54,4024,271,KEMSA,2026-06-01,pharmacy_inventory.csv
115,1,118,988,159,Lab & Allied,2026-04-01,pharmacy_inventory.csv
116,1,238,4118,226,Medisel Kenya,2026-05-21,pharmacy_inventory.csv
117,1,114,2014,324,Revital Healthcare,2026-06-13,pharmacy_inventory.csv
118,1,41,3318,367,Medisel Kenya,2026-04-30,pharmacy_inventory.csv
119,1,34,4283,326,KEMSA,2026-04-28,pharmacy_inventory.csv
120,1,180,2639,263,KEMSA,2026-04-24,pharmacy_inventory.csv
121,1,219,223,125,Surgipharm,2026-04-11,pharmacy_inventory.csv
122,1,287,1884,158,Mission for Essential Drugs,2026-05-14,pharmacy_inventory.csv
123,1,234,3342,436,Medisel Kenya,2026-04-12,pharmacy_inventory.csv
124,1,91,4873,293,Harleys Limited,2026-06-23,pharmacy_inventory.csv
125,1,228,2486,362,Surgipharm,2026-06-05,pharmacy_inventory.csv
126,1,220,1807,325,Lab & Allied,2026-04-08,pharmacy_inventory.csv
127,1,112,702,492,Medisel Kenya,2026-05-29,pharmacy_inventory.csv
128,1,205,1233,380,Surgipharm,2026-05-19,pharmacy_inventory.csv
129,1,213,2980,347,Revital Healthcare,2026-05-22,pharmacy_inventory.csv
130,1,188,1666,211,Lab & Allied,2026-04-20,pharmacy_inventory.csv
131,1,267,1611,163,Harleys Limited,2026-04-05,pharmacy_inventory.csv
132,1,229,1037,349,Lab & Allied,2026-05-01,pharmacy_inventory.csv
133,1,291,760,145,Harleys Limited,2026-04-22,pharmacy_inventory.csv
134,1,27,2875,125,Phillips Healthcare,2026-06-20,pharmacy_inventory.csv
135,1,102,4826,347,Mission for Essential Drugs,2026-06-26,pharmacy_inventory.csv
136,1,20,996,153,Harleys Limited,2026-05-31,pharmacy_inventory.csv
137,1,212,857,287,KEMSA,2026-05-10,pharmacy_inventory.csv
138,1,13,1742,422,Revital Healthcare,2026-04-22,pharmacy_inventory.csv
139,1,242,1114,351,Surgipharm,2026-05-22,pharmacy_inventory.csv
140,1,115,2834,114,Surgipharm,2026-04-29,pharmacy_inventory.csv
141,1,198,3062,207,Lab & Allied,2026-04-13,pharmacy_inventory.csv
142,1,143,4252,380,Lab & Allied,2026-04-10,pharmacy_inventory.csv
143,1,236,1782,448,Phillips Healthcare,2026-04-15,pharmacy_inventory.csv
144,1,11,3077,161,Surgipharm,2026-06-23,pharmacy_inventory.csv
145,1,43,4874,123,Phillips Healthcare,2026-04-27,pharmacy_inventory.csv
146,1,83,3394,249,Revital Healthcare,2026-06-18,pharmacy_inventory.csv
147,1,18,1494,405,Revital Healthcare,2026-06-25,pharmacy_inventory.csv
148,1,184,4445,137,Phillips Healthcare,2026-06-03,pharmacy_inventory.csv
149,1,206,1279,262,Revital Healthcare,2026-05-22,pharmacy_inventory.csv
150,1,68,1409,248,Harleys Limited,2026-04-09,pharmacy_inventory.csv
151,1,176,2746,232,Revital Healthcare,2026-06-15,pharmacy_inventory.csv
152,1,141,4941,242,Mission for Essential Drugs,2026-06-21,pharmacy_inventory.csv
153,1,255,2165,471,Harleys Limited,2026-05-03,pharmacy_inventory.csv
154,1,268,2883,264,Phillips Healthcare,2026-05-23,pharmacy_inventory.csv
155,1,100,4681,386,Lab & Allied,2026-06-10,pharmacy_inventory.csv
156,1,58,4008,130,Lab & Allied,2026-06-02,pharmacy_inventory.csv
157,1,208,1830,228,Phillips Healthcare,2026-05-23,pharmacy_inventory.csv
158,1,257,2546,350,KEMSA,2026-05-04,pharmacy_inventory.csv
159,1,258,2114,408,Mission for Essential Drugs,2026-05-14,pharmacy_inventory.csv
160,1,48,3000,389,Surgipharm,2026-05-17,pharmacy_inventory.csv
161,1,147,22,235,Lab & Allied,2026-05-23,pharmacy_inventory.csv
162,1,73,4655,254,Surgipharm,2026-05-12,pharmacy_inventory.csv
163,1,56,1306,294,Lab & Allied,2026-05-28,pharmacy_inventory.csv
164,1,12,2702,176,Revital Healthcare,2026-06-21,pharmacy_inventory.csv
165,1,103,1840,341,KEMSA,2026-04-20,pharmacy_inventory.csv
166,1,105,4116,144,KEMSA,2026-05-09,pharmacy_inventory.csv
167,1,245,2991,194,Surgipharm,2026-05-11,pharmacy_inventory.csv
168,1,254,137,458,Phillips Healthcare,2026-06-16,pharmacy_inventory.csv
169,1,270,1563,185,Harleys Limited,2026-05-26,pharmacy_inventory.csv
170,1,144,877,390,Mission for Essential Drugs,2026-06-23,pharmacy_inventory.csv
171,1,97,1751,360,Mission for Essential Drugs,2026-05-26,pharmacy_inventory.csv
172,1,86,19,366,Surgipharm,2026-05-24,pharmacy_inventory.csv
173,1,78,3636,191,Revital Healthcare,2026-06-24,pharmacy_inventory.csv
174,1,140,3517,182,Mission for Essential Drugs,2026-06-25,pharmacy_inventory.csv
175,1,265,2617,143,KEMSA,2026-06-14,pharmacy_inventory.csv
176,1,1,1433,400,Lab & Allied,2026-04-15,pharmacy_inventory.csv
177,1,50,844,207,KEMSA,2026-06-21,pharmacy_inventory.csv
178,1,207,880,426,Phillips Healthcare,2026-05-13,pharmacy_inventory.csv
179,1,87,3009,480,Surgipharm,2026-06-09,pharmacy_inventory.csv
180,1,170,3352,211,Revital Healthcare,2026-04-27,pharmacy_inventory.csv
181,1,85,4154,105,KEMSA,2026-05-15,pharmacy_inventory.csv
182,1,92,3843,333,Mission for Essential Drugs,2026-05-21,pharmacy_inventory.csv
183,1,286,4214,417,Lab & Allied,2026-04-21,pharmacy_inventory.csv
184,1,63,4063,222,Mission for Essential Drugs,2026-04-13,pharmacy_inventory.csv
185,1,148,4602,120,Lab & Allied,2026-06-21,pharmacy_inventory.csv
186,1,139,1055,208,Surgipharm,2026-04-11,pharmacy_inventory.csv
187,1,137,4826,144,Surgipharm,2026-05-11,pharmacy_inventory.csv
188,1,161,859,337,Surgipharm,2026-05-12,pharmacy_inventory.csv
189,1,55,3630,231,Surgipharm,2026-04-17,pharmacy_inventory.csv
190,1,88,4575,347,Harleys Limited,2026-05-18,pharmacy_inventory.csv
191,1,295,1117,136,Phillips Healthcare,2026-04-12,pharmacy_inventory.csv
192,1,145,3837,316,Lab & Allied,2026-06-13,pharmacy_inventory.csv
193,1,253,4942,120,Lab & Allied,2026-05-11,pharmacy_inventory.csv
194,1,232,2447,156,Medisel Kenya,2026-04-28,pharmacy_inventory.csv
195,1,146,474,187,Phillips Healthcare,2026-05-29,pharmacy_inventory.csv
196,1,260,74,453,Lab & Allied,2026-04-29,pharmacy_inventory.csv
197,1,14,2476,338,Mission for Essential Drugs,2026-04-10,pharmacy_inventory.csv
198,1,214,719,447,Medisel Kenya,2026-04-30,pharmacy_inventory.csv
199,1,66,3302,249,Phillips Healthcare,2026-05-09,pharmacy_inventory.csv
200,1,196,2160,260,Lab & Allied,2026-06-20,pharmacy_inventory.csv
201,1,226,2602,279,Lab & Allied,2026-05-07,pharmacy_inventory.csv
202,1,98,1586,460,KEMSA,2026-04-28,pharmacy_inventory.csv
203,1,93,2432,254,Harleys Limited,2026-06-05,pharmacy_inventory.csv
204,1,294,4423,500,Lab & Allied,2026-04-24,pharmacy_inventory.csv
205,1,252,2608,253,Harleys Limited,2026-04-11,pharmacy_inventory.csv
206,1,150,3957,429,Surgipharm,2026-04-27,pharmacy_inventory.csv
207,1,42,3517,418,Medisel Kenya,2026-05-22,pharmacy_inventory.csv
208,1,106,3256,274,Harleys Limited,2026-05-13,pharmacy_inventory.csv
209,1,25,2350,360,Revital Healthcare,2026-06-14,pharmacy_inventory.csv
210,1,75,4254,436,KEMSA,2026-05-26,pharmacy_inventory.csv
211,1,53,207,397,Lab & Allied,2026-06-11,pharmacy_inventory.csv
212,1,261,3863,161,Surgipharm,2026-06-07,pharmacy_inventory.csv
213,1,94,3453,459,Mission for Essential Drugs,2026-04-08,pharmacy_inventory.csv
214,1,138,81,225,Medisel Kenya,2026-04-17,pharmacy_inventory.csv
215,1,126,1963,414,Harleys Limited,2026-05-05,pharmacy_inventory.csv
216,1,263,1198,417,Lab & Allied,2026-05-31,pharmacy_inventory.csv
217,1,3,2297,495,Harleys Limited,2026-06-02,pharmacy_inventory.csv
218,1,154,943,294,Harleys Limited,2026-06-09,pharmacy_inventory.csv
219,1,247,746,484,Surgipharm,2026-05-09,pharmacy_inventory.csv
220,1,283,4983,489,Surgipharm,2026-06-11,pharmacy_inventory.csv
221,1,26,4306,447,Medisel Kenya,2026-05-18,pharmacy_inventory.csv
222,1,125,1389,131,Medisel Kenya,2026-05-05,pharmacy_inventory.csv
223,1,210,3006,449,Surgipharm,2026-06-23,pharmacy_inventory.csv
224,1,129,186,461,KEMSA,2026-05-25,pharmacy_inventory.csv
225,1,79,2807,315,Harleys Limited,2026-06-21,pharmacy_inventory.csv
226,1,49,3168,395,Harleys Limited,2026-06-05,pharmacy_inventory.csv
227,1,168,2368,415,Mission for Essential Drugs,2026-06-08,pharmacy_inventory.csv
228,1,80,2572,366,Lab & Allied,2026-05-14,pharmacy_inventory.csv
229,1,181,1793,300,Revital Healthcare,2026-04-28,pharmacy_inventory.csv
230,1,45,2487,224,KEMSA,2026-05-19,pharmacy_inventory.csv
231,1,108,1111,135,Surgipharm,2026-05-26,pharmacy_inventory.csv
232,1,74,2427,499,Medisel Kenya,2026-06-18,pharmacy_inventory.csv
233,1,225,2138,418,Lab & Allied,2026-05-05,pharmacy_inventory.csv
234,1,203,3850,275,Lab & Allied,2026-05-09,pharmacy_inventory.csv
235,1,38,3860,387,KEMSA,2026-06-24,pharmacy_inventory.csv
236,1,159,4134,220,Medisel Kenya,2026-04-12,pharmacy_inventory.csv
237,1,65,3211,103,Lab & Allied,2026-05-08,pharmacy_inventory.csv
238,1,142,4333,194,Mission for Essential Drugs,2026-06-23,pharmacy_inventory.csv
239,1,241,1550,220,KEMSA,2026-04-04,pharmacy_inventory.csv
240,1,133,1441,400,Mission for Essential Drugs,2026-04-27,pharmacy_inventory.csv
241,2,265,1678,385,Phillips Healthcare,2026-06-10,pharmacy_inventory.csv
242,2,49,3596,489,Revital Healthcare,2026-05-08,pharmacy_inventory.csv
243,2,96,4824,311,Revital Healthcare,2026-06-15,pharmacy_inventory.csv
244,2,221,455,166,Revital Healthcare,2026-04-12,pharmacy_inventory.csv
245,2,27,956,120,KEMSA,2026-04-25,pharmacy_inventory.csv
246,2,217,4172,173,Phillips Healthcare,2026-06-13,pharmacy_inventory.csv
247,2,5,71,348,Mission for Essential Drugs,2026-04-18,pharmacy_inventory.csv
248,2,152,3573,310,Surgipharm,2026-05-16,pharmacy_inventory.csv
249,2,273,1551,405,Mission for Essential Drugs,2026-05-28,pharmacy_inventory.csv
250,2,187,4853,153,Harleys Limited,2026-05-07,pharmacy_inventory.csv
251,2,47,4572,373,Mission for Essential Drugs,2026-06-05,pharmacy_inventory.csv
252,2,283,3303,310,Harleys Limited,2026-06-26,pharmacy_inventory.csv
253,2,45,3727,445,Lab & Allied,2026-04-24,pharmacy_inventory.csv
254,2,84,1063,299,Phillips Healthcare,2026-04-27,pharmacy_inventory.csv
255,2,242,1446,257,Mission for Essential Drugs,2026-04-13,pharmacy_inventory.csv
256,2,31,2859,135,Mission for Essential Drugs,2026-06-03,pharmacy_inventory.csv
257,2,236,3370,495,Phillips Healthcare,2026-05-07,pharmacy_inventory.csv
258,2,227,375,240,KEMSA,2026-06-18,pharmacy_inventory.csv
259,2,34,3289,255,Surgipharm,2026-04-05,pharmacy_inventory.csv
260,2,224,1466,115,Surgipharm,2026-05-13,pharmacy_inventory.csv
261,2,186,3144,464,Surgipharm,2026-05-15,pharmacy_inventory.csv
262,2,17,4548,477,Surgipharm,2026-06-09,pharmacy_inventory.csv
263,2,69,718,394,Revital Healthcare,2026-04-02,pharmacy_inventory.csv
264,2,195,2038,369,KEMSA,2026-06-14,pharmacy_inventory.csv
265,2,135,2256,324,Surgipharm,2026-06-13,pharmacy_inventory.csv
266,2,89,2786,482,Harleys Limited,2026-04-06,pharmacy_inventory.csv
267,2,155,192,454,Revital Healthcare,2026-06-27,pharmacy_inventory.csv
268,2,212,1583,227,Revital Healthcare,2026-06-18,pharmacy_inventory.csv
269,2,263,2557,393,Phillips Healthcare,2026-05-22,pharmacy_inventory.csv
270,2,154,2349,333,Phillips Healthcare,2026-05-03,pharmacy_inventory.csv
271,2,192,601,331,Surgipharm,2026-04-20,pharmacy_inventory.csv
272,2,18,3480,413,KEMSA,2026-04-11,pharmacy_inventory.csv
273,2,97,643,143,Revital Healthcare,2026-05-31,pharmacy_inventory.csv
274,2,240,3201,393,Mission for Essential Drugs,2026-04-04,pharmacy_inventory.csv
275,2,44,314,304,Harleys Limited,2026-04-08,pharmacy_inventory.csv
276,2,59,2652,227,Phillips Healthcare,2026-06-16,pharmacy_inventory.csv
277,2,158,388,466,Mission for Essential Drugs,2026-06-27,pharmacy_inventory.csv
278,2,200,3571,464,Medisel Kenya,2026-04-21,pharmacy_inventory.csv
279,2,201,4389,232,KEMSA,2026-05-14,pharmacy_inventory.csv
280,2,262,2626,433,Mission for Essential Drugs,2026-04-25,pharmacy_inventory.csv
281,2,130,2483,451,Harleys Limited,2026-06-07,pharmacy_inventory.csv
282,2,56,820,232,Mission for Essential Drugs,2026-04-24,pharmacy_inventory.csv
283,2,269,200,486,Revital Healthcare,2026-04-29,pharmacy_inventory.csv
284,2,146,2769,207,Mission for Essential Drugs,2026-05-29,pharmacy_inventory.csv
285,2,205,1772,178,Revital Healthcare,2026-04-14,pharmacy_inventory.csv
286,2,117,4658,287,KEMSA,2026-05-29,pharmacy_inventory.csv
287,2,33,2803,356,KEMSA,2026-05-11,pharmacy_inventory.csv
288,2,209,2392,201,KEMSA,2026-06-27,pharmacy_inventory.csv
289,2,170,887,417,Revital Healthcare,2026-04-10,pharmacy_inventory.csv
290,2,219,969,197,Phillips Healthcare,2026-06-20,pharmacy_inventory.csv
291,2,70,2211,460,Lab & Allied,2026-05-10,pharmacy_inventory.csv
292,2,26,1175,148,Surgipharm,2026-04-03,pharmacy_inventory.csv
293,2,104,3728,209,Surgipharm,2026-05-27,pharmacy_inventory.csv
294,2,119,2339,264,Harleys Limited,2026-06-02,pharmacy_inventory.csv
295,2,144,564,426,Harleys Limited,2026-05-17,pharmacy_inventory.csv
296,2,85,933,499,Mission for Essential Drugs,2026-04-05,pharmacy_inventory.csv
297,2,248,4221,262,Mission for Essential Drugs,2026-05-16,pharmacy_inventory.csv
298,2,90,4914,162,Revital Healthcare,2026-05-01,pharmacy_inventory.csv
299,2,106,1988,241,Revital Healthcare,2026-03-30,pharmacy_inventory.csv
300,2,133,3594,223,Mission for Essential Drugs,2026-04-21,pharmacy_inventory.csv
301,2,191,920,196,Medisel Kenya,2026-05-25,pharmacy_inventory.csv
302,2,62,3407,107,KEMSA,2026-05-19,pharmacy_inventory.csv
303,2,138,4560,271,Phillips Healthcare,2026-05-20,pharmacy_inventory.csv
304,2,46,2569,269,Lab & Allied,2026-04-26,pharmacy_inventory.csv
305,2,184,3902,263,Surgipharm,2026-05-03,pharmacy_inventory.csv
306,2,254,1052,317,Phillips Healthcare,2026-05-20,pharmacy_inventory.csv
307,2,65,2840,251,Surgipharm,2026-05-03,pharmacy_inventory.csv
308,2,286,452,418,KEMSA,2026-06-13,pharmacy_inventory.csv
309,2,282,1685,251,Phillips Healthcare,2026-04-28,pharmacy_inventory.csv
310,2,32,581,461,Lab & Allied,2026-04-06,pharmacy_inventory.csv
311,2,115,4733,347,Surgipharm,2026-06-01,pharmacy_inventory.csv
312,2,272,185,417,Revital Healthcare,2026-06-23,pharmacy_inventory.csv
313,2,164,2405,475,Lab & Allied,2026-04-23,pharmacy_inventory.csv
314,2,23,2009,220,Surgipharm,2026-06-04,pharmacy_inventory.csv
315,2,3,2781,265,Mission for Essential Drugs,2026-05-25,pharmacy_inventory.csv
316,2,126,800,102,Lab & Allied,2026-06-19,pharmacy_inventory.csv
317,2,300,4747,395,Phillips Healthcare,2026-04-30,pharmacy_inventory.csv
318,2,139,4731,278,Mission for Essential Drugs,2026-06-19,pharmacy_inventory.csv
319,2,202,337,351,Phillips Healthcare,2026-04-06,pharmacy_inventory.csv
320,2,102,585,430,Harleys Limited,2026-06-04,pharmacy_inventory.csv
321,2,15,865,243,Mission for Essential Drugs,2026-06-23,pharmacy_inventory.csv
322,2,160,2395,311,KEMSA,2026-04-02,pharmacy_inventory.csv
323,2,75,779,399,Medisel Kenya,2026-05-15,pharmacy_inventory.csv
324,2,290,1931,347,Lab & Allied,2026-05-22,pharmacy_inventory.csv
325,2,294,2888,442,Lab & Allied,2026-05-10,pharmacy_inventory.csv
326,2,245,1988,301,Medisel Kenya,2026-05-14,pharmacy_inventory.csv
327,2,287,431,147,Harleys Limited,2026-06-16,pharmacy_inventory.csv
328,2,285,1127,113,Revital Healthcare,2026-06-11,pharmacy_inventory.csv
329,2,297,1250,393,Lab & Allied,2026-06-04,pharmacy_inventory.csv
330,2,73,1692,302,Revital Healthcare,2026-06-16,pharmacy_inventory.csv
331,2,250,4200,210,Phillips Healthcare,2026-05-30,pharmacy_inventory.csv
332,2,28,1233,421,Phillips Healthcare,2026-06-26,pharmacy_inventory.csv
333,2,210,873,111,Mission for Essential Drugs,2026-06-11,pharmacy_inventory.csv
334,2,293,1528,216,Mission for Essential Drugs,2026-06-02,pharmacy_inventory.csv
335,2,231,652,170,Revital Healthcare,2026-05-18,pharmacy_inventory.csv
336,2,204,2974,288,Surgipharm,2026-04-19,pharmacy_inventory.csv
337,2,100,3296,213,Surgipharm,2026-04-22,pharmacy_inventory.csv
338,2,277,3894,157,Mission for Essential Drugs,2026-05-04,pharmacy_inventory.csv
339,2,93,1598,471,Mission for Essential Drugs,2026-04-05,pharmacy_inventory.csv
340,2,251,2524,168,Surgipharm,2026-04-26,pharmacy_inventory.csv
341,2,181,2068,309,KEMSA,2026-06-17,pharmacy_inventory.csv
342,2,148,1902,168,Harleys Limited,2026-05-10,pharmacy_inventory.csv
343,2,249,4180,412,KEMSA,2026-04-20,pharmacy_inventory.csv
344,2,55,3855,450,Revital Healthcare,2026-06-24,pharmacy_inventory.csv
345,2,60,2509,283,Revital Healthcare,2026-06-22,pharmacy_inventory.csv
346,2,125,2530,360,Medisel Kenya,2026-04-08,pharmacy_inventory.csv
347,2,207,3428,335,Mission for Essential Drugs,2026-05-21,pharmacy_inventory.csv
348,2,7,1915,223,Harleys Limited,2026-06-12,pharmacy_inventory.csv
349,2,25,3303,170,Harleys Limited,2026-06-07,pharmacy_inventory.csv
350,2,4,551,323,Surgipharm,2026-06-04,pharmacy_inventory.csv
351,2,12,4019,175,Mission for Essential Drugs,2026-04-21,pharmacy_inventory.csv
352,2,143,2431,168,Phillips Healthcare,2026-06-07,pharmacy_inventory.csv
353,2,156,2833,200,Phillips Healthcare,2026-05-27,pharmacy_inventory.csv
